Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,0,336,0,30.618170499801636,0.0013065338134765625,17.76654404853331,7.133372235842732
2,0,0,242,0,28.08095097541809,0.0049686431884765625,10.808592747328088,5.66903859544019
3,0,1,0,0,1.2596380710601807,0.00331878662109375,1.0658843901068944,5.0899620422458085
4,0,1,0,0,1.7560505867004395,0.002040863037109375,1.3779276100885265,5.349433080685584
5,0,1,216,0,21.27579689025879,0.01026153564453125,8.050462995528145,5.616909234056477
6,0,1,0,0,1.5531134605407715,0.0077342987060546875,1.875541749219926,4.869835743159067
7,0,0,216,0,28.4787380695343,0.0,12.650440670687194,6.061923823938236
8,0,1,0,0,0.9958577156066895,0.001983642578125,0.7933576554726459,5.350580933049488
9,0,0,231,0,27.393289804458618,0.0027370452880859375,11.857612090936131,6.140282089690116
10,0,1,0,0,1.2646925449371338,0.0034236907958984375,1.172427924963887,4.988821703610942
